ticker,ticker_nm,market_cap,market_cap_ratio,share_count,foreign_ratio,industry
006040,동원산업,988780800000,0.0005,3363200,,어로 어업
000370,한화손해보험,986443831750,0.0005,116738915,,보험업
001230,동국제강,982957191100,0.0005,95432737,,1차 철강 제조업
175330,JB금융지주,982377153360,0.0005,155439423,,기타 금융업
001430,세아베스틸,975449636800,0.0005,35862119,,1차 철강 제조업
170900,동아에스티,975266754000,0.0005,8443868,,의약품 제조업
020560,아시아나항공,968710587680,0.0005,205235294,,항공 여객 운송업
049950,미래컴퍼니,966030410800,0.0005,7660828,,특수 목적용 기계 제조업
214370,케어젠,961498500000,0.0005,10743000,,기초 의약물질 및 생물학적 제제 제조업
005690,파미셀,957893004000,0.0005,58408110,,기초 의약물질 및 생물학적 제제 제조업
071320,지역난방공사,955246380000,0.0005,11578744,,"증기, 냉·온수 및 공기조절 공급업"
041510,에스엠,955073605700,0.0005,21755663,,오디오물 출판 및 원판 녹음업
039030,이오테크닉스,954204640200,0.0005,12280626,,특수 목적용 기계 제조업
010780,아이에스동서,952579359900,0.0005,30827811,,"내화, 비내화 요업제품 제조업"
200130,콜마비앤에이치,940962322300,0.0005,29543558,,기초 의약물질 및 생물학적 제제 제조업
093370,후성,937857492950,0.0005,92399753,,기초 화학물질 제조업
036420,제이콘텐트리,934224962580,0.0005,114068982,,기타 금융업
145720,덴티움,933102369000,0.0005,11068830,,의료용 기기 제조업
096530,씨젠,920814102000,0.0005,26234020,,의료용품 및 기타 의약 관련제품 제조업
003470,유안타증권,910160386560,0.0005,199596576,,금융 지원 서비스업
064760,티씨케이,904812500000,0.0005,11675000,,기타 비금속 광물제품 제조업
199800,툴젠,894842230100,0.0005,6396299,,
058470,리노공업,890154408000,0.0005,15242370,,전자부품 제조업
272450,진에어,889500000000,0.0005,30000000,,항공 여객 운송업
086520,에코프로,888025678200,0.0005,22090191,,기타 화학제품 제조업
105630,한세실업,886000000000,0.0005,40000000,,봉제의복 제조업
000250,삼천당제약,882021938700,0.0005,22105813,,의약품 제조업
237690,에스티팜,877764800000,0.0005,18656000,,의약품 제조업
000070,삼양홀딩스,869273506500,0.0004,8564271,,기타 금융업
003300,한일시멘트,867710995000,0.0004,7545313,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
001060,JW중외제약,861090562250,0.0004,19637185,,의약품 제조업
183490,엔지켐생명과학,860662892800,0.0004,7623232,,기초 의약물질 및 생물학적 제제 제조업
145990,삼양사,846850786900,0.0004,10289803,,기타 식품 제조업
001680,대상,833285001250,0.0004,34648025,,기타 식품 제조업
005290,동진쎄미켐,830344078100,0.0004,51414494,,기초 화학물질 제조업
009410,태영건설,828940000000,0.0004,76400000,,토목 건설업
284740,쿠쿠홈시스,827937477000,0.0004,4487466,,개인 및 가정용품 임대업
267260,현대일렉트릭,826668423000,0.0004,10205783,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
018670,SK가스,825897171600,0.0004,8967396,,기타 전문 도매업
049770,동원F&B,823922974000,0.0004,3859124,,기타 식품 제조업
000640,동아쏘시오홀딩스,822531396000,0.0004,6138294,,기타 금융업
112040,위메이드,817320000000,0.0004,16800000,,소프트웨어 개발 및 공급업
009450,경동나비엔,816602591000,0.0004,12739510,,가정용 기기 제조업
014680,한솔케미칼,814383559500,0.0004,11295195,,기초 화학물질 제조업
058820,CMG제약,793788008760,0.0004,108887244,,의약품 제조업
024720,한국콜마홀딩스,793062119600,0.0004,16748936,,기타 금융업
007570,일양약품,790408336000,0.0004,19045984,,의약품 제조업
093050,LF,777784000000,0.0004,29240000,,봉제의복 제조업
053800,안랩,764057136500,0.0004,10013855,,소프트웨어 개발 및 공급업
066575,LG전자우,757902247200,0.0004,17185992,,
048260,오스템임플란트,752857285900,0.0004,14285717,,의료용 기기 제조업
065620,제낙스,748808575200,0.0004,22486744,,1차 철강 제조업
004430,송원산업,746400000000,0.0004,24000000,,기초 화학물질 제조업
073240,금호타이어,744147774180,0.0004,157993158,,고무제품 제조업
089600,나스미디어,743273265900,0.0004,8754691,,광고업
085620,미래에셋생명,737514400000,0.0004,145180000,,보험업
034830,한국토지신탁,734743659300,0.0004,252489230,,신탁업 및 집합투자업
005850,에스엘,731485944000,0.0004,33865090,,자동차 신품 부품 제조업
009970,영원무역홀딩스,728140612800,0.0004,13635592,,기타 금융업
000990,DB하이텍,727632444800,0.0004,44367832,,반도체 제조업
080160,모두투어,724815000000,0.0004,18900000,,여행사 및 기타 여행보조 서비스업
084110,휴온스글로벌,720580953500,0.0004,9911705,,기타 금융업
020000,한섬,720427500000,0.0004,24630000,,봉제의복 제조업
108670,LG하우시스,711136231000,0.0004,8967670,,플라스틱제품 제조업
002270,롯데푸드,707418750000,0.0004,1131870,,낙농제품 및 식용빙과류 제조업
048530,인트론바이오,706807714000,0.0004,15038462,,기초 의약물질 및 생물학적 제제 제조업
065660,안트로젠,705487069700,0.0004,7953631,,기초 의약물질 및 생물학적 제제 제조업
003540,대신증권,703211590000,0.0004,50773400,,금융 지원 서비스업
083790,크리스탈,701977018100,0.0004,25903211,,자연과학 및 공학 연구개발업
035900,JYP Ent.,701114150250,0.0004,34622921,,오디오물 출판 및 원판 녹음업
003620,쌍용차,700782931680,0.0004,137949396,,자동차용 엔진 및 자동차 제조업
280360,롯데제과,696606381000,0.0004,4209102,,기타 식품 제조업
031390,녹십자셀,690060401000,0.0004,11695939,,기초 의약물질 및 생물학적 제제 제조업
141080,레고켐바이오,688342330000,0.0004,10589882,,자연과학 및 공학 연구개발업
007460,에이프로젠KIC,684403307500,0.0004,49774786,,기타 금속 가공제품 제조업
042700,한미반도체,683507575000,0.0004,63582100,,특수 목적용 기계 제조업
241590,화승엔터프라이즈,682550954250,0.0004,30268335,,기타 금융업
039840,디오,681954564850,0.0004,15171403,,의료용 기기 제조업
039200,오스코텍,681269675000,0.0004,27250787,,의약품 제조업
019680,대교,681010914000,0.0004,84702850,,초등 교육기관
032350,롯데관광개발,680925345000,0.0004,45395023,,여행사 및 기타 여행보조 서비스업
005880,대한해운,671728860000,0.0003,24426504,,해상 운송업
029530,신도리코,671329931400,0.0003,10080029,,컴퓨터 및 주변장치 제조업
041830,인바디,659558292400,0.0003,13683782,,의료용 기기 제조업
144510,녹십자랩셀,655406753400,0.0003,10554054,,"그외 기타 전문, 과학 및 기술 서비스업"
092040,아미코젠,655390066500,0.0003,9595755,,기타 식품 제조업
00680K,미래에셋대우2우B,651000000000,0.0003,140000000,,
007700,F&F,650650000000,0.0003,15400000,,봉제의복 제조업
037560,CJ헬로,638936636250,0.0003,77446865,,텔레비전 방송업
108320,실리콘웍스,638373775000,0.0003,16264300,,반도체 제조업
095610,테스,634560054600,0.0003,19768226,,특수 목적용 기계 제조업
090460,비에이치,626959008800,0.0003,31269776,,전자부품 제조업
002020,코오롱,623563264500,0.0003,12061185,,기타 금융업
243070,휴온스,622715106600,0.0003,6190011,,의약품 제조업
031430,신세계인터내셔날,621894000000,0.0003,7140000,,"섬유, 의복, 신발 및 가죽제품 소매업"
025860,남해화학,618501595350,0.0003,49678843,,"비료, 농약 및 살균, 살충제 제조업"
086450,동국제약,615326400000,0.0003,8892000,,의약품 제조업
271980,제일약품,614512840500,0.0003,10504493,,의약품 제조업
272290,이녹스첨단소재,608813971500,0.0003,8709785,,전자부품 제조업
051370,인터플렉스,605347898400,0.0003,23327472,,전자부품 제조업
000815,삼성화재우,604884000000,0.0003,3192000,,
073070,넥센테크,602057620000,0.0003,87508375,,자동차 신품 부품 제조업
030530,원익홀딩스,597821972940,0.0003,77237981,,기타 금융업
005180,빙그레,596985204600,0.0003,9851241,,낙농제품 및 식용빙과류 제조업
035600,KG이니시스,595759665900,0.0003,27904434,,소프트웨어 개발 및 공급업
003230,삼양식품,594354883500,0.0003,7533015,,기타 식품 제조업
237880,클리오,594030729750,0.0003,16948095,,기타 화학제품 제조업
229500,노브메타파마,592909559000,0.0003,8655614,,
053210,스카이라이프,590601280100,0.0003,47821966,,텔레비전 방송업
192530,광주은행,590134655500,0.0003,51316057,,은행 및 저축기관
123890,한국자산신탁,589050000000,0.0003,93500000,,신탁업 및 집합투자업
002210,동성제약,586730803800,0.0003,24756574,,의약품 제조업
064960,S&T모티브,585656596800,0.0003,14623136,,자동차 신품 부품 제조업
025540,한국단자,584281500000,0.0003,10415000,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
002240,고려제강,578000000000,0.0003,20000000,,1차 철강 제조업
034310,NICE,577705075000,0.0003,37882300,,기타 금융업
005500,삼진제약,568510000000,0.0003,13900000,,의약품 제조업
087010,펩트론,563781984000,0.0003,7418184,,기초 의약물질 및 생물학적 제제 제조업
067080,대화제약,559506701800,0.0003,18224974,,의약품 제조업
043150,바텍,557034600000,0.0003,14854256,,의료용 기기 제조업
031980,피에스케이,553019628800,0.0003,20331604,,특수 목적용 기계 제조업
001720,신영증권,552849359300,0.0003,9386237,,금융 지원 서비스업
033180,필룩스,551961300800,0.0003,33351136,,전자부품 제조업
112610,씨에스윈드,551414308500,0.0003,17285715,,"구조용 금속제품, 탱크 및 증기발생기 제조업"
002390,한독,550541320000,0.0003,13763533,,의약품 제조업
060980,한라홀딩스,542295088200,0.0003,10802691,,기타 금융업
030190,NICE평가정보,541576194400,0.0003,60714820,,기타 정보 서비스업
003030,세아제강,540000000000,0.0003,6000000,,1차 철강 제조업
122870,와이지엔터테인먼트,539206271850,0.0003,18185709,,오디오물 출판 및 원판 녹음업
214450,파마리서치프로덕트,538627747300,0.0003,9466217,,생활용품 도매업
036930,주성엔지니어링,535566253200,0.0003,48249212,,특수 목적용 기계 제조업
096760,JW홀딩스,535167392220,0.0003,63258557,,기타 금융업
082270,젬백스,534767291100,0.0003,31272941,,특수 목적용 기계 제조업
003530,한화투자증권,532847358990,0.0003,172442511,,금융 지원 서비스업
058650,세아홀딩스,532000000000,0.0003,4000000,,기타 금융업
161000,애경유화,531864000000,0.0003,32040000,,기초 화학물질 제조업
025980,에머슨퍼시픽,521914601100,0.0003,16464183,,스포츠 서비스업
006730,서부T&D,521222466700,0.0003,47169454,,상품 종합 도매업
019210,와이지-원,518608766000,0.0003,30506398,,기타 금속 가공제품 제조업
003850,보령제약,514488000000,0.0003,8840000,,의약품 제조업
038290,마크로젠,512819973600,0.0003,10595454,,"그외 기타 전문, 과학 및 기술 서비스업"
032190,다우데이타,511305000000,0.0003,38300000,,기계장비 및 관련 물품 도매업
182400,에이티젠,510792258900,0.0003,24439821,,기초 의약물질 및 생물학적 제제 제조업
192400,쿠쿠홀딩스,509262645200,0.0003,5315894,,가정용 기기 제조업
017810,풀무원,506609635000,0.0003,3809095,,기타 금융업
